en,pos,tr,ex_en,ex_tr,note
battery,n,"батарейка, аккумулятор",,,
battle,n,битва,,,
beauty,n,красота,,,
bee,n,пчела,,,
behaviour,n,поведение,,,
belief,n,"вера, убеждение",,,
bell,n,"колокол, звонок",,,
bend,v,"сгибать, наклоняться",,,
benefit,v,получать пользу,,,
bite,v,кусать,,,
block,n,"блок, квартал",,,
block,v,блокировать,,,
board,v,садиться в транспорт,,,
bomb,n,бомба,,,
bomb,v,бомбить,,,
booking,n,бронирование,,,
border,n,граница,,,
bother,v,беспокоить,,,
branch,n,"ветка, филиал",,,
brand,n,"бренд, марка",,,
brave,adj,храбрый,,,
breath,n,"дыхание, вздох",,,
breathe,v,дышать,,,
breathing,n,дыхание,,,
bride,n,невеста,,,
bubble,n,пузырь,,,
burst,v,лопаться,,,
bury,v,"хоронить, закапывать",,,
calm,adj,спокойный,,,
campaign,n,кампания,,,
campus,n,"кампус, территория университета",,,
candidate,n,кандидат,,,
cap,n,"кепка, колпачок",,,
captain,n,капитан,,,
career,n,карьера,,,
careless,adj,"небрежный, беспечный",,,
category,n,категория,,,
ceiling,n,потолок,,,
celebration,n,празднование,,,
central,adj,центральный,,,
century,n,"век, столетие",,,
ceremony,n,церемония,,,
chain,n,"цепь, сеть",,,
challenge,n,"вызов, трудная задача",,,
challenge,v,бросать вызов,,,
champion,n,чемпион,,,
channel,n,канал,,,
chapter,n,глава,,,
charge,n,"плата, обвинение",,,
charge,v,"брать плату, обвинять",,,
cheat,v,"обманывать, жульничать",,,
cheerful,adj,жизнерадостный,,,
chemical,n,химикат,,,
chemical,adj,химический,,,
chest,n,"грудь, сундук",,,
childhood,n,детство,,,
claim,v,"утверждать, претендовать",,,
claim,n,"претензия, утверждение",,,
click,n,щелчок,,,
click,v,щёлкать,,,
client,n,клиент,,,
close,adj,близкий,,,
cloth,n,"ткань, тряпка",,,
clue,n,"улика, подсказка",,,
coach,n,"тренер, наставник",,,
coal,n,уголь,,,
collection,n,коллекция,,,
coloured,adj,цветной,,,
combine,v,объединять,,,
comment,v,комментировать,,,
commercial,adj,коммерческий,,,
commercial,n,рекламный ролик,,,
commit,v,"совершать, брать обязательство",,,
communication,n,"общение, коммуникация",,,
comparison,n,сравнение,,,
competitor,n,конкурент,,,
competitive,adj,конкурентоспособный,,,
complaint,n,жалоба,,,
complex,adj,сложный,,,
concentrate,v,сосредоточиваться,,,
conclude,v,"заключать, завершать",,,
confident,adj,уверенный,,,
confirm,v,подтверждать,,,
confuse,v,путать,,,
confused,adj,"смущённый, растерянный",,,
connection,n,"связь, соединение",,,
contact,v,связываться,,,
contact,n,контакт,,,
container,n,контейнер,,,
content,n,содержание,,,
continuous,adj,непрерывный,,,
contrast,n,контраст,,,
contrast,v,противопоставлять,,,
convenient,adj,удобный,,,
convince,v,убеждать,,,
copper,n,медь,,,
costume,n,костюм,,,
cottage,n,"коттедж, домик",,,
cotton,n,хлопок,,,
countryside,n,сельская местность,,,
court,n,"суд, корт",,,
cover,n,"обложка, крышка",,,
cover,v,покрывать,,,
covered,adj,покрытый,,,
create,v,создавать,,,
credit,n,кредит,,,
cruel,adj,жестокий,,,
cultural,adj,культурный,,,
culture,n,культура,,,
currency,n,валюта,,,
current,adj,текущий,,,
currently,adv,в настоящее время,,,
curtain,n,занавеска,,,
custom,n,"обычай, традиция",,,
damage,n,ущерб,,,
damage,v,повреждать,,,
deal,v,"иметь дело, справляться",,,
decade,n,десятилетие,,,
decorate,v,"украшать, делать ремонт",,,
deer,n,олень,,,
definite,adj,"определённый, чёткий",,,
deliver,v,доставлять,,,
departure,n,"отправление, отъезд",,,
desktop,n,рабочий стол,,,
despite,prep,несмотря на,,,
destination,n,пункт назначения,,,
determined,adj,"решительный, целеустремлённый",,,
development,n,развитие,,,
diagram,n,"диаграмма, схема",,,
diamond,n,"алмаз, бриллиант",,,
difficulty,n,трудность,,,
direct,v,"руководить, направлять",,,
direct,adj,прямой,,,
directly,adv,напрямую,,,
dirt,n,грязь,,,
disadvantage,n,недостаток,,,
disappointed,adj,разочарованный,,,
disappointing,adj,разочаровывающий,,,
discount,n,скидка,,,
discuss,v,обсуждать,,,
dislike,v,не любить,,,
divide,v,делить,,,
documentary,n,документальный фильм,,,
donate,v,жертвовать,,,
doubt,n,сомнение,,,
doubt,v,сомневаться,,,
dressed,adj,одетый,,,
drunk,adj,пьяный,,,
due,adj,"ожидаемый, положенный",,,
dust,n,пыль,,,
duty,n,"обязанность, долг",,,
earthquake,n,землетрясение,,,
eastern,adj,восточный,,,
economic,adj,экономический,,,
economy,n,экономика,,,
edge,n,край,,,
editor,n,редактор,,,
educate,v,"обучать, воспитывать",,,
educated,adj,образованный,,,
educational,adj,образовательный,,,
effect,n,"эффект, воздействие",,,
effective,adj,эффективный,,,
effectively,adv,эффективно,,,
effort,n,усилие,,,
election,n,выборы,,,
embarrassed,adj,смущённый,,,
embarrassing,adj,неловкий,,,
emergency,n,чрезвычайная ситуация,,,
emotion,n,эмоция,,,
employment,n,"занятость, трудоустройство",,,
encourage,v,"поощрять, вдохновлять",,,
enemy,n,враг,,,
engaged,adj,"помолвленный, занятый",,,
engineering,n,инженерия,,,
entertain,v,развлекать,,,
entertainment,n,развлечение,,,
entrance,n,вход,,,
entry,n,"вход, запись",,,
environment,n,окружающая среда,,,
environmental,adj,экологический,,,
episode,n,"эпизод, серия",,,
equal,adj,равный,,,
equally,adv,"поровну, одинаково",,,
escape,v,"сбежать, избежать",,,
essential,adj,"необходимый, существенный",,,
event,n,"событие, мероприятие",,,
eventually,adv,в конце концов,,,
examine,v,"осматривать, исследовать",,,
exchange,n,обмен,,,
exchange,v,обменивать,,,
excitement,n,"волнение, восторг",,,
exhibition,n,выставка,,,
expand,v,расширять,,,
expected,adj,ожидаемый,,,
expedition,n,экспедиция,,,
experienced,adj,опытный,,,
explode,v,взрываться,,,
explore,v,исследовать,,,
explosion,n,взрыв,,,
export,n,экспорт,,,
export,v,экспортировать,,,
face,v,сталкиваться,,,
fact,n,факт,,,
fairly,adv,"довольно, справедливо",,,
familiar,adj,знакомый,,,
fancy,v,"хотеть, нравиться",,,
fascinating,adj,увлекательный,,,
fashionable,adj,модный,,,
fasten,v,"застёгивать, закреплять",,,
favour,n,услуга,,,
fear,n,страх,,,
fear,v,бояться,,,
feature,n,"особенность, черта",,,
feature,v,"включать, отличаться",,,
feed,v,кормить,,,
fence,n,забор,,,
fighting,n,"бой, драка",,,
figure,n,"цифра, фигура",,,
file,n,"файл, папка",,,
file,v,подавать документ,,,
financial,adj,финансовый,,,
fine,n,штраф,,,
fitness,n,физическая форма,,,
fixed,adj,фиксированный,,,
flash,n,вспышка,,,
flood,n,наводнение,,,
flood,v,затоплять,,,
flour,n,мука,,,
flow,n,поток,,,
flow,v,течь,,,
fog,n,туман,,,
fold,v,складывать,,,
folk,n,"люди, народ",,,
following,adj,следующий,,,
following,prep,вслед за,,,
force,n,сила,,,
force,v,заставлять,,,
forever,adv,навсегда,,,
frame,n,"рама, каркас",,,
freeze,v,"замерзать, замораживать",,,
frequently,adv,часто,,,
friendship,n,дружба,,,
frighten,v,пугать,,,
frightened,adj,испуганный,,,
frightening,adj,пугающий,,,
frozen,adj,замороженный,,,
fry,v,жарить,,,
fuel,n,топливо,,,
function,n,функция,,,
function,v,функционировать,,,
fur,n,мех,,,
garage,n,гараж,,,
gather,v,собирать,,,
generally,adv,"обычно, в целом",,,
generation,n,поколение,,,
generous,adj,щедрый,,,
gentle,adj,"мягкий, нежный",,,
gentleman,n,джентльмен,,,
ghost,n,привидение,,,
giant,n,гигант,,,
giant,adj,гигантский,,,
gig,n,концерт,,,
glad,adj,рад,,,
global,adj,глобальный,,,
glove,n,перчатка,,,
goods,n,товары,,,
grade,n,"оценка, класс",,,
graduate,v,оканчивать учебное заведение,,,
grain,n,зерно,,,
grateful,adj,благодарный,,,
growth,n,рост,,,
guard,n,охранник,,,
guard,v,охранять,,,
guilty,adj,виновный,,,
hang,v,вешать,,,
happiness,n,счастье,,,
hardly,adv,едва,,,
headline,n,заголовок,,,
heating,n,отопление,,,
heavily,adv,"сильно, тяжело",,,
helicopter,n,вертолёт,,,
highlight,v,"подчёркивать, выделять",,,
highly,adv,"весьма, очень",,,
hire,v,"нанимать, брать напрокат",,,
hint,n,"намёк, подсказка",,,
hint,v,намекать,,,
historic,adj,"исторический, знаменательный",,,
historical,adj,исторический,,,
honest,adj,честный,,,
honey,n,мёд,,,
horrible,adj,ужасный,,,
horror,n,ужас,,,
host,n,"хозяин, ведущий",,,
host,v,"принимать, проводить",,,
however,adv,однако,,,
hunt,v,охотиться,,,
hurricane,n,ураган,,,
ignorant,adj,невежественный,,,
ignore,v,игнорировать,,,
illegal,adj,незаконный,,,
imaginary,adj,воображаемый,,,
immediate,adj,немедленный,,,
immigrant,n,иммигрант,,,
impact,n,"влияние, воздействие",,,
import,n,импорт,,,
import,v,импортировать,,,
importance,n,важность,,,
impression,n,впечатление,,,
impressive,adj,впечатляющий,,,
improve,v,улучшать,,,
improvement,n,улучшение,,,
incredibly,adv,невероятно,,,
indeed,adv,действительно,,,
indicate,v,указывать,,,
indirect,adj,косвенный,,,
indoor,adj,"внутренний, в помещении",,,
indoors,adv,в помещении,,,
infant,n,младенец,,,
influence,n,влияние,,,
influence,v,влиять,,,
ingredient,n,ингредиент,,,
injure,v,ранить,,,
injured,adj,раненый,,,
innocent,adj,невинный,,,
intelligence,n,"интеллект, разведка",,,
intend,v,намереваться,,,
intention,n,намерение,,,
invest,v,инвестировать,,,
investigate,v,расследовать,,,
involved,adj,вовлечённый,,,
iron,n,"железо, утюг",,,
iron,v,гладить,,,
issue,n,"вопрос, проблема",,,
it,n,информационные технологии,,,
journal,n,"журнал, дневник",,,
judge,n,судья,,,
judge,v,судить,,,
keen,adj,увлечённый,,,
key,adj,"ключевой, главный",,,
keyboard,n,клавиатура,,,
killing,n,убийство,,,
kind,adj,добрый,,,
kingdom,n,королевство,,,
label,n,"этикетка, ярлык",,,
label,v,"называть, маркировать",,,
laboratory,n,лаборатория,,,
lack,n,нехватка,,,
lack,v,не хватать,,,
latest,adj,"последний, новейший",,,
lay,v,класть,,,
layer,n,слой,,,
lead,n,свинец,,,
leading,adj,ведущий,,,
leaf,n,лист,,,
leather,n,кожа,,,
legal,adj,"законный, юридический",,,
leisure,n,досуг,,,
length,n,длина,,,
level,n,уровень,,,
level,v,выравнивать,,,
lie,v,лгать,,,
limit,n,предел,,,
limit,v,ограничивать,,,
lip,n,губа,,,
liquid,n,жидкость,,,
literature,n,литература,,,
living,n,средства к существованию,,,
living,adj,живой,,,
locate,v,"располагать, находить",,,
located,adj,расположенный,,,
location,n,местоположение,,,
log,n,"журнал, запись",,,
lonely,adj,одинокий,,,
loss,n,потеря,,,
luxury,n,роскошь,,,
mad,adj,"безумный, сердитый",,,
magic,n,магия,,,
mainly,adv,главным образом,,,
mall,n,торговый центр,,,
management,n,"управление, менеджмент",,,
marketing,n,маркетинг,,,
marriage,n,брак,,,
material,n,материал,,,
meanwhile,adv,тем временем,,,
measure,n,мера,,,
measure,v,измерять,,,
medium,adj,средний,,,
mental,adj,умственный,,,
mess,n,беспорядок,,,
mild,adj,"мягкий, умеренный",,,
mill,n,"мельница, завод",,,
mine,n,"шахта, рудник",,,
mix,v,смешивать,,,
mixture,n,смесь,,,
model,n,модель,,,
mood,n,настроение,,,
mud,n,грязь,,,
murder,n,убийство,,,
murder,v,убивать,,,
muscle,n,мышца,,,
mystery,n,тайна,,,
nail,n,"ноготь, гвоздь",,,
narrative,n,повествование,,,
nation,n,нация,,,
native,adj,родной,,,
native,n,уроженец,,,
naturally,adv,естественно,,,
necessarily,adv,обязательно,,,
needle,n,игла,,,
negative,adj,отрицательный,,,
neighbourhood,n,"район, окрестности",,,
neither,conj,ни,,,
neither,det,ни один из,,,
neither,pron,ни тот ни другой,,,
nor,conj,ни,,,
normal,adj,обычный,,,
normal,n,норма,,,
northern,adj,северный,,,
note,v,отмечать,,,
nuclear,adj,ядерный,,,
obvious,adj,очевидный,,,
obviously,adv,очевидно,,,
occasion,n,"случай, повод",,,
occur,v,происходить,,,
odd,adj,странный,,,
official,adj,официальный,,,
old-fashioned,adj,старомодный,,,
once,conj,как только,,,
opinion,n,мнение,,,
operation,n,операция,,,
opportunity,n,возможность,,,
organised,adj,организованный,,,
organiser,n,организатор,,,
original,adj,оригинальный,,,
originally,adv,первоначально,,,
ought to,v,"следует, должен",,,
ours,pron,наш,,,
outdoor,adj,"наружный, на открытом воздухе",,,
outdoors,adv,на улице,,,
package,n,"пакет, посылка",,,
pad,n,"блокнот, подушечка",,,
painful,adj,болезненный,,,
pale,adj,бледный,,,
pan,n,сковорода,,,
participate,v,участвовать,,,
particularly,adv,особенно,,,
passion,n,страсть,,,
path,n,"тропа, путь",,,
payment,n,оплата,,,
peaceful,adj,мирный,,,
percentage,n,процент,,,
perfectly,adv,идеально,,,
performance,n,"представление, эффективность",,,
personally,adv,лично,,,
pessimistic,adj,пессимистичный,,,
persuade,v,убеждать,,,
photographer,n,фотограф,,,
photography,n,фотография,,,
pin,n,булавка,,,
pin,v,прикалывать,,,
pipe,n,труба,,,
planning,n,планирование,,,
pleasant,adj,приятный,,,
pleasure,n,удовольствие,,,
plenty,pron,"много, достаточно",,,
plot,n,"сюжет, участок",,,
plus,prep,плюс,,,
plus,conj,и к тому же,,,
poem,n,стихотворение,,,
poet,n,поэт,,,
poetry,n,поэзия,,,
point,v,указывать,,,
poison,n,яд,,,
poison,v,отравлять,,,
poisonous,adj,ядовитый,,,
policy,n,политика,,,
political,adj,политический,,,
politician,n,политик,,,
politics,n,политика,,,
port,n,порт,,,
portrait,n,портрет,,,
position,n,"позиция, положение",,,
positive,adj,положительный,,,
possibly,adv,возможно,,,
pot,n,"горшок, кастрюля",,,
pour,v,наливать,,,
poverty,n,бедность,,,
powder,n,порошок,,,
power,n,"сила, власть",,,
powerful,adj,мощный,,,
practical,adj,практичный,,,
pray,v,молиться,,,
prayer,n,молитва,,,
prediction,n,предсказание,,,
prepared,adj,подготовленный,,,
presentation,n,презентация,,,
press,n,пресса,,,
pressure,n,давление,,,
pretend,v,притворяться,,,
previous,adj,предыдущий,,,
previously,adv,ранее,,,
priest,n,священник,,,
primary,adj,"первичный, начальный",,,
prince,n,принц,,,
princess,n,принцесса,,,
printing,n,печать,,,
prisoner,n,заключённый,,,
private,adj,частный,,,
probably,adv,вероятно,,,
process,n,процесс,,,
produce,v,производить,,,
producer,n,производитель,,,
product,n,продукт,,,
production,n,производство,,,
profession,n,профессия,,,
profit,n,прибыль,,,
project,n,проект,,,
promote,v,продвигать,,,
proper,adj,"правильный, подходящий",,,
properly,adv,правильно,,,
property,n,собственность,,,
protest,n,протест,,,
protest,v,протестовать,,,
proud,adj,гордый,,,
prove,v,доказывать,,,
pump,v,качать,,,
punch,v,ударять кулаком,,,
punish,v,наказывать,,,
punishment,n,наказание,,,
qualification,n,квалификация,,,
qualified,adj,квалифицированный,,,
qualify,v,получать квалификацию,,,
queue,n,очередь,,,
queue,v,стоять в очереди,,,
quit,v,"бросать, увольняться",,,
quotation,n,цитата,,,
quote,n,цитата,,,
quote,v,цитировать,,,
race,n,раса,,,
racing,n,гонки,,,
range,n,диапазон,,,
rare,adj,редкий,,,
rarely,adv,редко,,,
reaction,n,реакция,,,
reality,n,реальность,,,
receipt,n,"чек, квитанция",,,
recommendation,n,рекомендация,,,
reference,n,"ссылка, упоминание",,,
reflect,v,отражать,,,
regularly,adv,регулярно,,,
reject,v,отвергать,,,
relate,v,"относиться, рассказывать",,,
related,adj,связанный,,,
relation,n,"отношение, родственник",,,
relative,n,родственник,,,
relaxed,adj,расслабленный,,,
relaxing,adj,расслабляющий,,,
release,v,выпускать,,,
reliable,adj,надёжный,,,
religion,n,религия,,,
religious,adj,религиозный,,,
remain,v,оставаться,,,
remind,v,напоминать,,,
remote,adj,удалённый,,,
rent,n,арендная плата,,,
rent,v,арендовать,,,
repeated,adj,повторный,,,
represent,v,представлять,,,
require,v,требовать,,,
reservation,n,"бронирование, оговорка",,,
resource,n,ресурс,,,
respect,n,уважение,,,
respect,v,уважать,,,
response,n,"ответ, реакция",,,
responsibility,n,ответственность,,,
responsible,adj,ответственный,,,
result,n,результат,,,
retire,v,выходить на пенсию,,,
retired,adj,на пенсии,,,
revise,v,"повторять, пересматривать",,,
rifle,n,винтовка,,,
rise,v,подниматься,,,
risk,n,риск,,,
risk,v,рисковать,,,
robot,n,робот,,,
roll,v,катиться,,,
romantic,adj,романтический,,,
rope,n,верёвка,,,
rough,adj,"грубый, неровный",,,
row,n,ряд,,,
royal,adj,королевский,,,
rugby,n,регби,,,
rule,v,править,,,
safety,n,безопасность,,,
sailor,n,моряк,,,
sample,n,образец,,,
sand,n,песок,,,
scan,v,сканировать,,,
scientific,adj,научный,,,
script,n,сценарий,,,
sculpture,n,скульптура,,,
secondary,adj,"средний, вторичный",,,
security,n,безопасность,,,
seed,n,семя,,,
sensible,adj,разумный,,,
separate,v,отделять,,,
seriously,adv,серьёзно,,,
servant,n,слуга,,,
set,v,"класть, ставить",,,
set,n,"набор, комплект",,,
setting,n,"обстановка, сеттинг",,,
sex,n,пол,,,
sexual,adj,сексуальный,,,
sharp,adj,острый,,,
shelf,n,полка,,,
shell,n,"раковина, скорлупа",,,
shift,n,"сдвиг, смена",,,
shift,v,сдвигать,,,
shine,v,сиять,,,
shiny,adj,блестящий,,,
shoot,v,стрелять,,,
shock,n,шок,,,
shock,v,шокировать,,,
shot,n,выстрел,,,
shy,adj,застенчивый,,,
sight,n,"зрелище, зрение",,,
signal,n,сигнал,,,
silent,adj,"тихий, молчаливый",,,
silly,adj,глупый,,,
similarity,n,сходство,,,
similarly,adv,аналогично,,,
simply,adv,просто,,,
since,conj,"с тех пор, поскольку",,,
sink,v,тонуть,,,
skill,n,навык,,,
skip,v,пропускать,,,
slam,v,хлопать дверью,,,
slap,v,шлёпать,,,
slice,n,ломтик,,,
slice,v,нарезать,,,
slightly,adv,немного,,,
smart,adj,умный,,,
smooth,adj,гладкий,,,
society,n,общество,,,
software,n,программное обеспечение,,,
soil,n,почва,,,
solid,adj,твёрдый,,,
solve,v,решать,,,
sort,v,сортировать,,,
southern,adj,южный,,,
spam,n,спам,,,
specifically,adv,"специально, конкретно",,,
speed,n,скорость,,,
spending,n,расходы,,,
spicy,adj,"острый, пряный",,,
spirit,n,дух,,,
spoken,adj,устный,,,
spot,n,"место, пятно",,,
spot,v,заметить,,,
spread,v,распространять,,,
spring,n,"источник, родник",,,
spy,n,шпион,,,
spy,v,шпионить,,,
stadium,n,стадион,,,
staff,n,персонал,,,
standard,n,стандарт,,,
standard,adj,стандартный,,,
state,v,заявлять,,,
statue,n,статуя,,,
stick,v,приклеивать,,,
stick,n,палка,,,
store,v,хранить,,,
stranger,n,незнакомец,,,
strength,n,сила,,,
string,n,"верёвка, струна",,,
strongly,adv,сильно,,,
studio,n,студия,,,
stuff,n,"вещи, материал",,,
successfully,adv,успешно,,,
sudden,adj,внезапный,,,
suffer,v,страдать,,,
suit,v,подходить,,,
suitable,adj,подходящий,,,
success,n,успех,,,
summarise,v,резюмировать,,,
summary,n,краткое содержание,,,
supply,n,"запас, поставка",,,
supply,v,снабжать,,,
supporter,n,"болельщик, сторонник",,,
surely,adv,несомненно,,,
surface,n,поверхность,,,
survive,v,выживать,,,
survey,n,опрос,,,
switch,n,выключатель,,,
switch,v,переключать,,,
sword,n,меч,,,
symptom,n,симптом,,,
tail,n,хвост,,,
talent,n,талант,,,
talented,adj,талантливый,,,
tape,n,"лента, плёнка",,,
tax,n,налог,,,
technical,adj,технический,,,
technique,n,"техника, метод",,,
tend,v,иметь склонность,,,
theme,n,тема,,,
though,adv,впрочем,,,
though,conj,хотя,,,
throat,n,горло,,,
throughout,prep,"по всей, на протяжении",,,
throughout,adv,всюду,,,
tight,adj,"тесный, тугой",,,
till,conj,пока не,,,
till,prep,до,,,
tin,n,"жесть, консерва",,,
tiny,adj,крошечный,,,
tongue,n,язык,,,
topic,n,тема,,,
total,adj,"общий, полный",,,
total,n,итог,,,
totally,adv,полностью,,,
trade,n,торговля,,,
trade,v,торговать,,,
trailer,n,"трейлер, прицеп",,,
translate,v,переводить,,,
translation,n,перевод,,,
treat,v,"лечить, обращаться",,,
treatment,n,лечение,,,
trend,n,"тренд, тенденция",,,
trick,n,трюк,,,
trick,v,обманывать,,,
truth,n,правда,,,
tube,n,трубка,,,
turtle,n,черепаха,,,
type,v,печатать,,,
typically,adv,обычно,,,
tyre,n,шина,,,
ugly,adj,уродливый,,,
unable,adj,неспособный,,,
uncomfortable,adj,неудобный,,,
underwear,n,нижнее бельё,,,
unemployed,adj,безработный,,,
unemployment,n,безработица,,,
unfair,adj,несправедливый,,,
union,n,"союз, профсоюз",,,
unless,conj,если не,,,
unlike,prep,в отличие от,,,
unlikely,adj,маловероятный,,,
unnecessary,adj,ненужный,,,
unpleasant,adj,неприятный,,,
update,v,обновлять,,,
upon,prep,"на, над",,,
upset,v,расстраивать,,,
used,adj,бывший в употреблении,,,
valuable,adj,ценный,,,
value,n,"ценность, стоимость",,,
various,adj,различный,,,
vehicle,n,транспортное средство,,,
version,n,версия,,,
victim,n,жертва,,,
viewer,n,зритель,,,
violent,adj,"жестокий, насильственный",,,
volunteer,n,волонтёр,,,
volunteer,v,вызваться добровольно,,,
vote,n,голосование,,,
vote,v,голосовать,,,
warn,v,предупреждать,,,
warning,n,предупреждение,,,
waste,n,"отходы, трата",,,
waste,v,тратить впустую,,,
weapon,n,оружие,,,
weigh,v,весить,,,
western,adj,западный,,,
whale,n,кит,,,
whatever,pron,"что бы ни, какой бы ни",,,
abandon,v,"бросать, покидать",,,
absent,adj,отсутствующий,,,
absolute,adj,абсолютный,,,
absorb,v,"поглощать, впитывать",,,
abstract,adj,абстрактный,,,
accent,n,акцент,,,
acceptable,adj,приемлемый,,,
accidentally,adv,случайно,,,
accommodate,v,"размещать, вмещать",,,
accompany,v,сопровождать,,,
accomplish,v,"выполнять, достигать",,,
account for,v,"объяснять, составлять долю",,,
accountant,n,бухгалтер,,,
accuracy,n,точность,,,
accurate,adj,точный,,,
accurately,adv,точно,,,
accuse,v,обвинять,,,
acknowledge,v,признавать,,,
acquire,v,приобретать,,,
acre,n,акр,,,
activate,v,активировать,,,
actual,adj,фактический,,,
adapt,v,адаптировать,,,
addiction,n,зависимость,,,
additional,adj,дополнительный,,,
additionally,adv,дополнительно,,,
address,v,"адресовать, решать вопрос",,,
adequate,adj,"достаточный, адекватный",,,
adequately,adv,достаточно,,,
adjust,v,"регулировать, подстраивать",,,
administration,n,администрация,,,
adopt,v,"принимать, усыновлять",,,
advance,n,"продвижение, аванс",,,
advance,v,продвигаться,,,
affair,n,"дело, роман",,,
affordable,adj,доступный по цене,,,
afterwards,adv,"после, затем",,,
agency,n,агентство,,,
agenda,n,повестка дня,,,
aggressive,adj,агрессивный,,,
agriculture,n,сельское хозяйство,,,
aid,n,помощь,,,
aid,v,помогать,,,
aids,n,СПИД,,,
aircraft,n,воздушное судно,,,
alarm,v,"тревожить, беспокоить",,,
alien,n,"инопланетянин, чужестранец",,,
alien,adj,чужой,,,
alongside,prep,рядом с,,,
alter,v,изменять,,,
altogether,adv,"в целом, совершенно",,,
ambulance,n,скорая помощь,,,
amusing,adj,забавный,,,
analyse,v,анализировать,,,
analysis,n,анализ,,,
analyst,n,аналитик,,,
ancestor,n,предок,,,
angel,n,ангел,,,
anger,n,гнев,,,
angle,n,угол,,,
animation,n,анимация,,,
anniversary,n,годовщина,,,
annual,adj,ежегодный,,,
annually,adv,ежегодно,,,
anticipate,v,"ожидать, предвидеть",,,
anxiety,n,тревога,,,
anxious,adj,тревожный,,,
apology,n,извинение,,,
apparent,adj,очевидный,,,
apparently,adv,по-видимому,,,
appeal,n,"призыв, привлекательность",,,
appeal,v,"обращаться, привлекать",,,
applicant,n,"кандидат, заявитель",,,
approach,n,подход,,,
approach,v,приближаться,,,
appropriate,adj,"подходящий, уместный",,,
appropriately,adv,уместно,,,
approval,n,одобрение,,,
approve,v,одобрять,,,
arise,v,возникать,,,
armed,adj,вооружённый,,,
arms,n,оружие,,,
arrow,n,стрела,,,
artificial,adj,искусственный,,,
artistic,adj,художественный,,,
artwork,n,"иллюстрации, оформление",,,
ashamed,adj,пристыженный,,,
aspect,n,аспект,,,
assess,v,оценивать,,,
assessment,n,оценка,,,
asset,n,актив,,,
assign,v,"назначать, поручать",,,
assistance,n,помощь,,,
associate,v,"ассоциировать, связывать",,,
associated,adj,связанный,,,
association,n,ассоциация,,,
assume,v,предполагать,,,
assumption,n,предположение,,,
assure,v,заверять,,,
astonishing,adj,поразительный,,,
athletic,adj,атлетический,,,
attachment,n,"вложение, привязанность",,,
attempt,n,попытка,,,
attempt,v,пытаться,,,
audio,adj,"аудио-, звуковой",,,
awareness,n,осведомлённость,,,
awkward,adj,"неловкий, неудобный",,,
bacteria,n,бактерии,,,
badge,n,значок,,,
balanced,adj,сбалансированный,,,
ballet,n,балет,,,
balloon,n,воздушный шар,,,
barely,adv,едва,,,
bargain,n,выгодная покупка,,,
barrier,n,"барьер, препятствие",,,
based on,adj,основанный на,,,
basement,n,подвал,,,
basically,adv,в основном,,,
basis,n,основа,,,
basket,n,корзина,,,
bat,n,"летучая мышь, бита",,,
bear,v,"выносить, терпеть",,,
beg,v,умолять,,,
being,n,существо,,,
beneficial,adj,полезный,,,
bent,adj,согнутый,,,
beside,prep,рядом с,,,
besides,prep,кроме,,,
